"sample_flow_rate"	"sample_volume"	"record_sample_volume"	"mixing_volume"	"mixing_speed"	"number_mixes"	"wash_volume"	"tube.name"	"plate.num"	"samp_id"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"H3"	"Plate_002"	"170705-Plate_002.H3"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"H4"	"Plate_002"	"170705-Plate_002.H4"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"H5"	"Plate_002"	"170705-Plate_002.H5"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"H6"	"Plate_002"	"170705-Plate_002.H6"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"H7"	"Plate_002"	"170705-Plate_002.H7"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"H8"	"Plate_002"	"170705-Plate_002.H8"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"H9"	"Plate_002"	"170705-Plate_002.H9"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"H10"	"Plate_002"	"170705-Plate_002.H10"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"H11"	"Plate_002"	"170705-Plate_002.H11"
"0.5"	"10"	"10"	"50"	"200"	"0"	"800"	"H12"	"Plate_002"	"170705-Plate_002.H12"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"A1"	"Plate_003"	"170705-Plate_003.A1"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"A2"	"Plate_003"	"170705-Plate_003.A2"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"A3"	"Plate_003"	"170705-Plate_003.A3"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"A4"	"Plate_003"	"170705-Plate_003.A4"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"A5"	"Plate_003"	"170705-Plate_003.A5"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"A6"	"Plate_003"	"170705-Plate_003.A6"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"A7"	"Plate_003"	"170705-Plate_003.A7"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"A8"	"Plate_003"	"170705-Plate_003.A8"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"A9"	"Plate_003"	"170705-Plate_003.A9"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"A10"	"Plate_003"	"170705-Plate_003.A10"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"A11"	"Plate_003"	"170705-Plate_003.A11"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"A12"	"Plate_003"	"170705-Plate_003.A12"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"B1"	"Plate_003"	"170705-Plate_003.B1"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"B2"	"Plate_003"	"170705-Plate_003.B2"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"B3"	"Plate_003"	"170705-Plate_003.B3"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"B4"	"Plate_003"	"170705-Plate_003.B4"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"B5"	"Plate_003"	"170705-Plate_003.B5"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"B6"	"Plate_003"	"170705-Plate_003.B6"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"B7"	"Plate_003"	"170705-Plate_003.B7"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"B8"	"Plate_003"	"170705-Plate_003.B8"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"B9"	"Plate_003"	"170705-Plate_003.B9"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"B10"	"Plate_003"	"170705-Plate_003.B10"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"B11"	"Plate_003"	"170705-Plate_003.B11"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"B12"	"Plate_003"	"170705-Plate_003.B12"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"C1"	"Plate_003"	"170705-Plate_003.C1"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"C2"	"Plate_003"	"170705-Plate_003.C2"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"C3"	"Plate_003"	"170705-Plate_003.C3"
"0.5"	"10"	"10"	"100"	"179"	"0"	"800"	"C4"	"Plate_003"	"170705-Plate_003.C4"
